state_fips,place_fips,name,state,lat,lng
01,32848,Hamilton city,AL,34.138713,-87.970833
01,32896,Hammondville town,AL,34.566232,-85.640348
01,32968,Hanceville city,AL,34.06401,-86.764436
01,33064,Hanover CDP,AL,33.002922,-86.200931
01,33256,Harpersville town,AL,33.317725,-86.428431
01,33424,Hartford city,AL,31.105348,-85.691225
01,33448,Hartselle city,AL,34.440434,-86.940364
01,33472,Harvest CDP,AL,34.85507,-86.758643
01,33544,Hatton CDP,AL,34.560671,-87.413835
01,33640,Hayden town,AL,33.894514,-86.744224
01,33712,Hayneville town,AL,32.182595,-86.578588
01,33808,Hazel Green CDP,AL,34.923656,-86.567392
01,33856,Headland city,AL,31.354974,-85.357031
01,33904,Heath town,AL,31.344839,-86.46905
01,33976,Heflin city,AL,33.6474,-85.569339
01,34024,Helena city,AL,33.283424,-86.879177
01,34096,Henagar city,AL,34.630641,-85.730918
01,34480,Highland Lake town,AL,33.894586,-86.422553
01,34490,Highland Lakes CDP,AL,33.397611,-86.64792
01,34816,Hillsboro town,AL,34.642586,-87.178489
01,34984,Hissop CDP,AL,32.890568,-86.129601
01,35130,Hobson CDP,AL,31.488725,-88.150928
01,35152,Hobson City town,AL,33.618801,-85.846146
01,35200,Hodges town,AL,34.334246,-87.92316
01,35392,Hokes Bluff city,AL,33.989682,-85.862873
01,35512,Hollins CDP,AL,33.121757,-86.126967
01,35536,Hollis Crossroads CDP,AL,33.531333,-85.652862
01,35560,Holly Pond town,AL,34.167686,-86.612067
01,35632,Hollywood town,AL,34.717279,-85.965579
01,35704,Holt CDP,AL,33.229745,-87.482894
01,35752,Holtville CDP,AL,32.630299,-86.328004
01,35800,Homewood city,AL,33.45855,-86.80965
01,35896,Hoover city,AL,33.37903,-86.808905
01,36088,Horn Hill town,AL,31.238137,-86.325163
01,36448,Hueytown city,AL,33.408604,-87.016565
01,36592,Huguley CDP,AL,32.843062,-85.239635
01,37000,Huntsville city,AL,34.69772,-86.67667
01,37096,Hurtsboro town,AL,32.24009,-85.41467
01,37264,Hytop town,AL,34.896635,-86.089176
01,37312,Ider town,AL,34.702599,-85.668958
01,37465,Indian Springs Village city,AL,33.361209,-86.746856
01,37864,Irondale city,AL,33.539914,-86.659082
01,38032,Ivalee CDP,AL,34.037204,-86.147182
01,38152,Jackson city,AL,31.532321,-87.891183
01,38248,Jacksons' Gap town,AL,32.884019,-85.815046
01,38272,Jacksonville city,AL,33.810066,-85.755217
01,38416,Jasper city,AL,33.85111,-87.268348
01,38608,Jemison city,AL,32.970705,-86.73307
01,39064,Joppa CDP,AL,34.29955,-86.549946
01,39280,Kansas town,AL,33.902808,-87.556598
01,39472,Kellyton town,AL,32.979188,-86.034608
01,39520,Kennedy town,AL,33.580722,-87.9855
01,39784,Killen town,AL,34.860954,-87.529346
01,39856,Kimberly city,AL,33.776989,-86.800211
01,40072,Kinsey town,AL,31.296269,-85.334994
01,40096,Kinston town,AL,31.219604,-86.170075
01,40648,Ladonia CDP,AL,32.459709,-85.090423
01,40672,La Fayette city,AL,32.899427,-85.400795
01,40888,Lakeview town,AL,34.391675,-85.975573
01,40928,Lake View town,AL,33.288266,-87.132653
01,41296,Lanett city,AL,32.858649,-85.207788
01,41368,Langston town,AL,34.545063,-86.09335
01,41968,Leeds city,AL,33.546847,-86.571448
01,42016,Leesburg town,AL,34.178627,-85.777897
01,42160,Leighton town,AL,34.69368,-87.524282
01,42304,Leroy CDP,AL,31.494971,-87.972773
01,42352,Lester town,AL,34.982751,-87.155534
01,42472,Level Plains town,AL,31.307125,-85.768722
01,42640,Lexington town,AL,34.959351,-87.37283
01,42808,Libertyville town,AL,31.24005,-86.456955
01,42928,Lillian CDP,AL,30.418904,-87.420751
01,43120,Lincoln city,AL,33.580169,-86.127876
01,43240,Linden city,AL,32.30136,-87.792583
01,43264,Lineville city,AL,33.312832,-85.752278
01,43336,Lipscomb city,AL,33.426005,-86.926103
01,43384,Lisman town,AL,32.171729,-88.284092
01,43648,Littleville town,AL,34.595121,-87.670729
01,43720,Livingston city,AL,32.595549,-88.186929
01,43744,Loachapoka town,AL,32.607946,-85.598479
01,43816,Lockhart town,AL,31.013011,-86.350273
01,43888,Locust Fork town,AL,33.876794,-86.647093
01,44160,Lookout Mountain CDP,AL,34.115916,-85.965464
01,44344,Louisville town,AL,31.781047,-85.558336
